id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
176588,Mission Bay Cottage - SAN DIEGO,2139569,Doug,,Moreno Mission,32.77246,-117.20233,Entire home/apt,89,3,155,2019-07-07,1.62,1,310
179884,Mission Beach Contemporary Home,753381,Denise,,Mission Bay,32.77528,-117.25274,Entire home/apt,390,2,84,2019-06-24,1.08,1,329
181283,"$110/Convent Ctr, Zoo, History museum, downtown #3",861297,Ron,,Balboa Park,32.71638,-117.13811,Entire home/apt,110,2,33,2019-04-21,0.38,9,320
182428,Adorable South Mission Studio 5- 1block to Ocean,874515,Luke,,Mission Bay,32.76474,-117.2516,Entire home/apt,99,3,3,2016-03-24,0.05,26,347
182504,Sunny San Diego *5 Star Reviews!*,874971,StellaRichard,,Midtown,32.74282,-117.16663,Entire home/apt,175,3,231,2019-07-01,2.39,1,44
184238,"Ocean Beach, garage parking, hot tub, Ocean VIEWS!",883704,Scott,,Loma Portal,32.74098,-117.24471,Entire home/apt,155,2,253,2019-07-10,2.62,1,306
189785,"Ocean views in North PB! 
1 block to beach & surf.",915738,Jeff,,La Jolla,32.81015,-117.26804,Private room,95,10,28,2019-06-19,0.42,1,117
190179,Bohemian Beach House,831158,Özlem,,Mission Bay,32.78248,-117.25169,Entire home/apt,215,2,144,2019-07-10,1.53,2,335
190225,Charming La Jolla Village Home with pool & spa,918513,Paige,,La Jolla,32.84061,-117.26902,Entire home/apt,550,3,107,2019-06-10,1.22,1,259
193368,Close to Comic-Con San Diego,937246,Mark,,North Clairemont,32.83509,-117.17007,Private room,90,3,10,2018-07-22,0.10,1,10
204211,Fabulous Home by La Jolla and Beaches,1002692,Ethan,,University City,32.85359,-117.2135,Entire home/apt,525,7,23,2019-06-22,0.25,1,57
204718,Friendly Clean Room/Mission Bay,1005583,Tanja,,Bay Park,32.78431,-117.20439,Private room,59,1,776,2019-06-28,8.46,5,316
