id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
176588,Mission Bay Cottage - SAN DIEGO,2139569,Doug,,Moreno Mission,32.77246,-117.20233,Entire home/apt,89,3,146,2019-04-14,1.58,1,301
179884,Mission Beach Contemporary Home,753381,Denise,,Mission Bay,32.77528,-117.25274,Entire home/apt,390,2,76,2019-03-30,1.02,1,315
181283,"$110/Convent Ctr, Zoo, History museum, downtown #3",861297,Ron,,Balboa Park,32.71638,-117.13811,Entire home/apt,110,2,32,2018-11-24,0.38,9,279
182428,Adorable South Mission Studio 5- 1block to Ocean,874515,Luke,,Mission Bay,32.76474,-117.2516,Entire home/apt,99,3,3,2016-03-24,0.05,26,346
182504,Sunny San Diego *5 Star Reviews!*,874971,StellaRichard,,Midtown,32.74282,-117.16663,Entire home/apt,175,3,218,2019-04-10,2.33,1,52
182555,Nice Guest Bedroom w/Private Bathroom (North Park),31656,Jared,,North Hills,32.75059,-117.13916,Private room,250,1,5,2014-09-20,0.06,3,365
184238,"Ocean Beach, garage parking, hot tub, Ocean VIEWS!",883704,Scott,,Loma Portal,32.74098,-117.24471,Entire home/apt,155,2,237,2019-04-06,2.54,1,281
189785,"Ocean views in North PB! 
1 block to beach & surf.",915738,Jeff,,La Jolla,32.81015,-117.26804,Private room,95,10,27,2019-01-06,0.42,1,115
190179,Bohemian Beach House,831158,Özlem,,Mission Bay,32.78248,-117.25169,Entire home/apt,215,2,133,2019-03-31,1.46,2,319
190225,Charming La Jolla Village Home with pool & spa,918513,Paige,,La Jolla,32.84061,-117.26902,Entire home/apt,550,3,99,2019-03-23,1.17,1,230
193286,"Amazing views, pool & waterslides.",937242,April,,Pacific Beach,32.81539,-117.22845,Private room,795,3,4,2018-08-07,0.11,1,26
204211,Fabulous San Diego Home by La Jolla,1002692,Ethan,,University City,32.85359,-117.2135,Entire home/apt,525,7,22,2019-01-02,0.25,1,106
204718,Friendly Clean Room/Mission Bay,1005583,Tanja,,Bay Park,32.78478,-117.20591,Private room,59,1,743,2019-04-13,8.38,5,324
205703,"BEST LOCATION, BEST PRICE IN S.D.",874159,Filbert,,Midtown,32.74632,-117.15077,Entire home/apt,80,3,294,2019-04-07,3.17,1,132
211583,"The Happy Little Cottage, South Mission Beach",1090651,J-Me & Clark,,Mission Bay,32.76735,-117.24928,Entire home/apt,165,3,116,2019-04-03,1.52,1,61
213653,BEAUTIFUL OCEAN VIEW & TORREY PINES SERENITY,660996,Kathy,,Torrey Pines,32.9259,-117.24959,Entire home/apt,500,4,24,2019-03-31,0.29,1,146
241210,Room for rent in North Park Home near DT San Diego,1265742,Deborah,,North Hills,32.75734,-117.13669,Private room,60,1,64,2019-02-03,0.70,1,261
244653,PRIVATE ROOM + BATHROOM,1152915,Benjamin,,Mountain View,32.69743,-117.10602,Private room,70,2,29,2018-11-11,0.32,1,365
246264,Central San Diego At Your Doorstep One Bedroom,1291828,Tomio,,Linda Vista,32.79432,-117.17452,Entire home/apt,89,31,57,2018-06-02,0.78,7,235
252289,Private oasis w/ jacuzzi -3bedrooms,861840,Catherine,,Old Town,32.75296,-117.17758,Entire home/apt,135,2,223,2019-03-31,2.71,1,192
256585,San Diego Balboa Park Guest Room,1349966,Dana,,Park West,32.72784,-117.16102,Private room,80,2,100,2019-03-27,1.16,2,352
269843,Twin Corner Artist Retreat w/ Pool & Jacuzzi!,766039,Pamela,,Bird Land,32.78127,-117.16012,Private room,58,2,76,2018-12-08,0.92,8,58
272822,★70s VIBE★HUGE UNIQUE WOOD-PANELED ROOM with PATIO,1427811,Angela,,Darnall,32.75041,-117.06613,Private room,59,1,33,2018-08-14,0.38,2,41
273134,Master Bed/Bath Artist Retreat w/ Pool & Jacuzzi!,766039,Pamela,,Bird Land,32.78133,-117.16072,Private room,85,2,52,2019-03-24,0.62,8,58
274943,"Great Location, Modern and Affordable!",710122,Kelly,,Grant Hill,32.70922,-117.14334,Entire home/apt,99,7,12,2019-04-01,0.14,12,254
275539,Great Location!  Super Central! Balcony Apartment,710122,Kelly,,Grant Hill,32.70862,-117.14266,Entire home/apt,79,7,7,2019-02-15,0.08,12,271
275557,"Bright, Ground Level, Designer, Studio Suite",710122,Kelly,,Grant Hill,32.70808,-117.14405,Entire home/apt,69,3,9,2019-03-17,0.13,12,254
275560,Great Location!  Spacious and Elegant!,710122,Kelly,,Grant Hill,32.70922,-117.14229,Entire home/apt,79,7,3,2017-11-08,0.03,12,248
275566,Fantastic Location!  Spacious and Elegant!,710122,Kelly,,Grant Hill,32.7078,-117.14369,Entire home/apt,79,7,7,2019-02-11,0.14,12,260
275567,Luxurious and Affordable!  Economy Apartment!,710122,Kelly,,Grant Hill,32.7091,-117.14232,Entire home/apt,89,7,14,2019-03-15,0.17,12,254
278138,Comfy Room Close to Everything !!,1451910,Mike & Deb,,Scripps Ranch,32.90838,-117.08981,Private room,65,2,77,2018-09-02,0.90,2,363
278158,Comfy & Cozy Room for Travelers,1451910,Mike & Deb,,Scripps Ranch,32.90678,-117.08732,Private room,65,2,32,2018-09-03,0.39,2,0
279012,Tropical Home Near Beach w/ Hot Tub,1451027,Rebecca,,Ocean Beach,32.73378,-117.2445,Entire home/apt,235,5,18,2018-08-01,0.22,1,7
281817,Private & Quiet Detached Cottage. No A/C,1468925,Sam,,South Park,32.72857,-117.12282,Entire home/apt,95,2,191,2019-03-31,2.16,1,354
289088,"Quiet studio: King bed, AC, Washer",1501859,Belinda,,Midtown,32.74245,-117.17547,Entire home/apt,85,2,170,2019-04-07,1.92,1,18
292285,Sleek & Modern OB Condo 2+2 BCH,466847,Heather,,Loma Portal,32.74917,-117.23127,Entire home/apt,2600,10,41,2018-12-22,0.57,1,184
293609,Stunning Home -Indoor/Outdoor Style,1502676,Aaron,,West University Heights,32.75985,-117.14354,Entire home/apt,149,2,211,2019-03-18,3.00,6,281
299720,Bankers Hill Studio by Balboa Park,384706,Dhiraj,,Midtown,32.73457,-117.1643,Entire home/apt,142,28,34,2019-03-10,0.38,1,324
311052,Historic Kensington Craftsman Charm,1192708,Jennifer,,Kensington,32.76133,-117.10455,Private room,70,1,356,2019-04-07,4.06,1,305
323711,Cute little Granny Flat  San Diego ,1657906,Bebe,,Lake Murray,32.79524,-117.00936,Entire home/apt,85,1,12,2015-07-19,0.14,1,0
323773,Little Italy Executive Penthouse,1657242,Kristin,,Little Italy,32.7218,-117.16687,Entire home/apt,167,30,1,2014-06-17,0.02,1,226
331892,In the heart of San Diego and UCSD Medical Center,1689428,Gene,,Midtown,32.75002,-117.16628,Private room,65,2,78,2019-03-25,0.91,1,341
334730,Craftsman Cottage in Mission Hillls,1288792,Celia,,Old Town,32.75124,-117.18347,Entire home/apt,99,2,226,2019-03-31,2.59,1,172
343495,Private & Cozy Bohemian OB Cottage,1012168,Chuck & Helen,,Ocean Beach,32.75182,-117.24502,Entire home/apt,110,2,304,2019-04-09,4.20,1,174
359838,"$110/Convent Ctr, zoo, museum, gaslamp, balboa # 2",861297,Ron,,Balboa Park,32.71708,-117.13934,Entire home/apt,110,2,23,2019-03-10,0.28,9,296
359971,Hillcrest - (close to Zoo & Balboa Park),1821106,Marcela,,West University Heights,32.75742,-117.14789,Entire home/apt,94,2,78,2019-03-31,0.91,1,289
366811,Private Floor to yourselves + Spa!,1852011,Brian,,Clairemont Mesa,32.81758,-117.16845,Entire home/apt,90,2,251,2019-04-15,2.97,1,9
373322,Pacific Beach San Diego Bay,1402683,Sandra,,Mission Bay,32.79247,-117.23293,Entire home/apt,257,2,12,2019-02-17,0.16,2,358
385343,Charming Beach Retreat,1011433,Vicky,,Ocean Beach,32.75433,-117.2477,Entire home/apt,139,3,19,2012-08-14,0.22,1,0
385760,"Super location, quiet neighborhood",1486293,Ann,,Loma Portal,32.75719,-117.22755,Private room,50,30,79,2018-11-30,0.93,1,207
392534,San Diego Bankers Hill Guest Room,1349966,Dana,,Park West,32.72779,-117.15942,Private room,75,1,29,2018-12-15,0.35,2,196
393042,Upstairs Bedrm:  Twin Bed,164137,Melinda,,Roseville,32.73815,-117.22005,Private room,90,1,45,2018-07-08,0.55,3,77
394524,Private Studio next to the beach,1972369,Edward,,Pacific Beach,32.80143,-117.25725,Entire home/apt,127,1,75,2019-04-08,0.91,1,359
395071,Mission Beach meets Mission Bay,1974643,Debbie,,Mission Bay,32.78937,-117.25509,Entire home/apt,235,1,58,2019-02-10,0.68,3,296
395858,One bedroom in quiet neighborhood ,1978403,Tuija,,Rancho Bernadino,33.02885,-117.08798,Private room,50,3,6,2018-06-07,0.09,2,282
396390,Independent room in the back garden,1980775,Shirley,,Midtown,32.74494,-117.17412,Entire home/apt,70,2,105,2019-04-03,1.27,1,304
401431,Charming Ocean Beach cottage,2003694,Edwin,,Ocean Beach,32.75127,-117.2489,Entire home/apt,125,3,33,2018-10-04,0.39,3,260
401581,cozy home close to wind n sea beach,2004456,Linda,,La Jolla,32.83077,-117.27335,Private room,59,4,6,2016-02-29,0.07,1,0
